round,seq,utc,query,terms,expression,top_k,equivalence_key,cache_key,cached,returned_dN,returned_docids,result_docs
1,6,2026-09-15T14:25:28.362536+00:00,born 1886 mistaken for shaman 1915 trip,"[""born"",""1886"",""mistaken"",""for"",""shaman"",""1915"",""trip""]","""born"" OR ""1886"" OR ""mistaken"" OR ""for"" OR ""shaman"" OR ""1915"" OR ""trip""",5,3fdecbf3feca8da51b0cb15fdb998b17298fdf152d973f11809a6eb06976e9f3,bfba0092efc2c402fa3b51832019449a0938c5065df649343ac3e3b792eccdf6,False,"[""d1"",""d2"",""d3"",""d4"",""d5""]","[""34631"",""64024"",""61847"",""67324"",""75903""]","[{""docid"":""34631"",""score"":21.665557746863012,""snippet"":"" ... astral travel and spiritual light. \""Through Eckankar, Morrisseau develops a vocabulary for his shamanism,\"" wrote Greg Hill, and it is true that Morrisseau soon began to cast himself as a shaman artist beyond the strict protocols of Anishinaabe culture.\n\nIn the summer of 1978, Morrisseau, long fascinated with ... "",""title"":""https://www.aci-iac.ca/art-books/norval-morrisseau/biography/""},{""docid"":""64024"",""score"":18.631007306539235,""snippet"":"" ... On your road trip, if you had to choose between a calm, shady stop or a bag of Flamin' Hot Cheetos and a lottery ticket, which would you opt for?\n\nAlcatraz Island, located in San Francisco Bay, is best known as the site of the notorious former federal ... "",""title"":""https://www.history.com/topics/landmarks""},{""docid"":""61847"",""score"":18.350464894800968,""snippet"":"" ... GV lectured at the Chicago College of Dental Surgery from 1886 to 1889 & moved to the Dental Department of Iowa University for 1-year, whereupon he was then elected as 1st dean of the Northwestern University Dental School from 1889 to 1915, which he guided to become a ... "",""title"":""https://www.oatext.com/Operative-dentistrys-beginnings-and-its-rapid-but-steady-continuum.php""},{""docid"":""67324"",""score"":17.698644874942417,""snippet"":"" ... literature after liberation.\""\n\nBorn in 1915 in Taedong, South Pyongan Province, Hwang began his literary career with the publication of \""My Dream\"" in the journal Eastern Light (Donggwang) in July 1931. After that, he graduated from Osan Middle School in 1934, and left for Tokyo to attend Waseda ... "",""title"":""https://www.korea.net/NewsFocus/Culture/view?articleId=133876""},{""docid"":""75903"",""score"":17.06428794226777,""snippet"":"" ... Streetcar conductor for United Electric Railway Company\n\nMarriage date and place: April 16, 1914\n\nFather-in-law's name: Unknown\n\nFather-in-law's occupation: Born Ireland\n\nMother-in-law's name: Unknown\n\nMother-in-law's dates: Born Ireland\n\nSons: Richard \""Buddy\"" (4/20/1915 - 1/5 ... "",""title"":""https://www.rihs.org/mssinv/WomenGuide.htm""}]"
1,14,2026-09-15T14:25:29.272308+00:00,shaman mistaken foreign language word misuse 1915,"[""shaman"",""mistaken"",""foreign"",""language"",""word"",""misuse"",""1915""]","""shaman"" OR ""mistaken"" OR ""foreign"" OR ""language"" OR ""word"" OR ""misuse"" OR ""1915""",5,bc270cc7fb4cd99fa1ebd308587868d60e97dc4f877871896e10a9267f9dafc5,736a70e7ecfd03a6cdbea5c22c0f65ca767a4de8eb97fa1f723c89b3e3723725,False,"[""d4"",""d6"",""d7"",""d8"",""d9""]","[""67324"",""53714"",""37659"",""55868"",""3668""]","[{""docid"":""67324"",""score"":19.20292105240258,""snippet"":"" ... In the course of Christianity's coming to Korea and taking hold, it became mixed with shamanism, losing its essence and becoming distorted. In other words, the novel adopts a neutral perspective to criticize the negative way in which shamanism and Christianity have affected one another.\n\nFor this ... "",""title"":""https://www.korea.net/NewsFocus/Culture/view?articleId=133876""},{""docid"":""53714"",""score"":17.222934801880292,""snippet"":"" ... Terminology\n\nEtymology\n\nThe Modern English word shamanism derives from the Russian word , , which itself comes from the word from a Tungusic language – possibly from the southwestern dialect of the Evenki spoken by the Sym Evenki peoples, or from the Manchu language. The etymology of the word is sometimes ... "",""title"":""https://en.wikipedia.org/wiki/Shamanism""},{""docid"":""37659"",""score"":16.742987214094573,""snippet"":"" ... The Old Norse word brúðhlaup has cognates in many other Germanic languages and means \""bride run\""; it has been suggested that this indicates a tradition of bride-stealing, but other scholars including Jan de Vries interpreted it as indicating a rite of passage conveying the bride from her ... "",""title"":""https://en.wikipedia.org/wiki/Old_Norse_religion""},{""docid"":""55868"",""score"":16.608565997987967,""snippet"":"" ... Foreign Language Series | Pachinko | | |\n| | Independent Spirit Awards | Best Ensemble Cast in a New Scripted Series | Soji Arai, Jin Ha, In-ji Jeong, Min-ha Kim, Kaho Minami, Lee Min-ho, Noh Sang-hyun, Anna Sawai, Jimmi Simpson and Yuh-jung Youn | | |\n| | Critics' Choice Television Awards | Best Foreign Language ... "",""title"":""https://en.wikipedia.org/wiki/Pachinko_(TV_series)""},{""docid"":""3668"",""score"":16.478826262237554,""snippet"":"" ... Israeli Labor Party because he joined the Likud-led government as Foreign Minister, playing an important part in negotiating the peace treaty between Egypt and Israel.\n\nEarly life\n\nMoshe Dayan was born on 20 May 1915 in Kibbutz Degania Alef, near the Sea of Galilee in Palestine, in ... "",""title"":""https://en.wikipedia.org/wiki/Moshe_Dayan""}]"
1,21,2026-09-15T14:25:29.759784+00:00,anthropologist 1886 shaman April November 1915,"[""anthropologist"",""1886"",""shaman"",""april"",""november"",""1915""]","""anthropologist"" OR ""1886"" OR ""shaman"" OR ""april"" OR ""november"" OR ""1915""",5,49be2566dffb7f076d7ba62edc0f56e1c96819d3a5f91358b6353be78b65eb63,d0713f73a7c0793ea9f17e0146ca391b0c1c79d994ee75fd7c4afc4bf1002a30,False,"[""d10"",""d1"",""d11"",""d6"",""d12""]","[""78189"",""34631"",""67128"",""53714"",""24452""]","[{""docid"":""78189"",""score"":23.54702010498693,""snippet"":"" ... From my own perspective as an anthropologist working on Copper Inuit ethnohistory, the most exciting part of this book is the period from 13 April to 8 November 1915, when Jenness parted company with fellow expedition members on the mainland to travel for the spring, summer, and fall ... "",""title"":""https://journalhosting.ucalgary.ca/index.php/arctic/article/download/64915/48829/184429""},{""docid"":""34631"",""score"":22.902242020232684,""snippet"":"" ... astral travel and spiritual light. \""Through Eckankar, Morrisseau develops a vocabulary for his shamanism,\"" wrote Greg Hill, and it is true that Morrisseau soon began to cast himself as a shaman artist beyond the strict protocols of Anishinaabe culture.\n\nIn the summer of 1978, Morrisseau, long fascinated with ... "",""title"":""https://www.aci-iac.ca/art-books/norval-morrisseau/biography/""},{""docid"":""67128"",""score"":22.432215077225226,""snippet"":"" ... College, University of Oxford\nemployer: National Museum of Canada\noccupation: Anthropologist\npredecessor: Dr. Edward Sapir\nspouse: Frances Eilleen Jenness\nchildren: John L. Jenness, Stuart E. Jenness, Robert A. Jenness\n\nDiamond Jenness, (February 10, 1886, Wellington, New Zealand – November 29, 1969, Chelsea, Quebec, Canada) was one of Canada's ... "",""title"":""https://en.wikipedia.org/wiki/Diamond_Jenness""},{""docid"":""53714"",""score"":22.03608065412468,""snippet"":"" ... A female shaman is sometimes called a , which is not an actual Tungus term but simply shaman plus the Russian suffix (for feminine nouns).\n\nDefinitions\n\nThere is no single agreed-upon definition for the word \""shamanism\"" among anthropologists. Anthropologist Manvir Singh argues that the most justifiable definition includes ... "",""title"":""https://en.wikipedia.org/wiki/Shamanism""},{""docid"":""24452"",""score"":19.116151674735562,""snippet"":"" ... Boyce, Royal Navy, born in Cape Town, South Africa, in 1943\n\n• Sir William Lawrence Bragg,British Physicist and Nobel Prize-Winner (1915),born in Adelaide, Australia, 1890.\n\n• Air Vice – Marshal Sir Christopher Joseph Quintin Brand, Royal Air Force: born in Kimberley, South Africa, in 1893.\n\n• Gyles Brandreth, British ... "",""title"":""https://peek-01.livejournal.com/64479.html""}]"
3,46,2026-09-15T14:25:37.112986+00:00,Diamond Jenness shaman mistaken word Inuktitut,"[""diamond"",""jenness"",""shaman"",""mistaken"",""word"",""inuktitut""]","""diamond"" OR ""jenness"" OR ""shaman"" OR ""mistaken"" OR ""word"" OR ""inuktitut""",5,eb0c60c5a97534dbe4619ceb60dc4d4cceba45953bb95297734a063ffc9446ba,8883d073c3704bfcc8a1111c96d6f008fc798a74915c8089ebf5a67094be1de8,False,"[""d13"",""d10"",""d11"",""d14"",""d15""]","[""61556"",""78189"",""67128"",""54048"",""6879""]","[{""docid"":""61556"",""score"":25.302268284542883,""snippet"":"" ... As the expedition's archaeologist, Graham had one main quest, set for him by Diamond Jenness at the National Museum in Ottawa: to unearth conclusive evidence of an ancient Arctic culture quite distinct from the so-called Thule culture described by Danish archaeologist Therkel Mathiassen. ... At Avvajja, [near ... "",""title"":""https://journalhosting.ucalgary.ca/index.php/arctic/article/view/63558""},{""docid"":""78189"",""score"":22.451185816257393,""snippet"":"" ... THE DIARY OF DIAMOND JENNESS, 1913-1916. Edited by STUARTE. JENNESS. Hull: Canadian Museum of Civilization, 1991. 902 p., 208 illus. (maps, photos and draw-ings), appendices, index, bib. Hardbound. Cdn$65.00. This superbly edited volume brings into public view the complete arctic diary of Diamond Jenness ... "",""title"":""https://journalhosting.ucalgary.ca/index.php/arctic/article/download/64915/48829/184429""},{""docid"":""67128"",""score"":20.874430968768756,""snippet"":"" ... Roberts with Jenness's word translations can be found in the monograph \""Songs of the Copper Eskimos\"" (1925).Roberts, Helen Hefron and Diamond Jenness \""Songs of the Copper Eskimos. Report of the Canadian Arctic Expedition, 1913-18, Southern Party 1913-16, Volume XIV\"" Ottawa : F.A. Acland, 1925 ... "",""title"":""https://en.wikipedia.org/wiki/Diamond_Jenness""},{""docid"":""54048"",""score"":18.670466908802453,""snippet"":"" ... She started the English-language program CBC Northbeat, which was translated into Inuktitut, and CBC Igalaaq, which broadcast in Inuktitut.\n\nWilson became an associate board member of Television Northern Canada (now the Aboriginal Peoples Television Network). She also served as vice-president of operations for the Workers' Safety ... "",""title"":""https://www.thecanadianencyclopedia.ca/en/article/marie-wilson""},{""docid"":""6879"",""score"":16.63781128720297,""snippet"":"" ... Inuit is an Inuktitut language word for people. Inuk for person. For much of recent history they were known as \""Eskimos,\"" but obviously preferred the substitution of their own term for themselves. While the striking aspects of their material culture are well known — iglu (snowhouse) and kayak (small ... "",""title"":""https://www.canadashistory.ca/explore/politics-law/the-creation-of-nunavut""}]"
3,52,2026-09-15T14:25:37.478373+00:00,Diamond Jenness angakok shaman word misuse,"[""diamond"",""jenness"",""angakok"",""shaman"",""word"",""misuse""]","""diamond"" OR ""jenness"" OR ""angakok"" OR ""shaman"" OR ""word"" OR ""misuse""",5,983371b02945f41c988f2f718682a058785652ffdb2c298a11d9069119be13d5,f64cf9ff0dbeb885d5bdd3d4f0f6a747e4348c25a32c991590e981f1ce19e286,False,"[""d10"",""d11"",""d16"",""d17"",""d18""]","[""78189"",""67128"",""80389"",""76498"",""8715""]","[{""docid"":""78189"",""score"":22.451185816257393,""snippet"":"" ... THE DIARY OF DIAMOND JENNESS, 1913-1916. Edited by STUARTE. JENNESS. Hull: Canadian Museum of Civilization, 1991. 902 p., 208 illus. (maps, photos and draw-ings), appendices, index, bib. Hardbound. Cdn$65.00. This superbly edited volume brings into public view the complete arctic diary of Diamond Jenness ... "",""title"":""https://journalhosting.ucalgary.ca/index.php/arctic/article/download/64915/48829/184429""},{""docid"":""67128"",""score"":20.874430968768756,""snippet"":"" ... Roberts with Jenness's word translations can be found in the monograph \""Songs of the Copper Eskimos\"" (1925).Roberts, Helen Hefron and Diamond Jenness \""Songs of the Copper Eskimos. Report of the Canadian Arctic Expedition, 1913-18, Southern Party 1913-16, Volume XIV\"" Ottawa : F.A. Acland, 1925 ... "",""title"":""https://en.wikipedia.org/wiki/Diamond_Jenness""},{""docid"":""80389"",""score"":16.369390760655463,""snippet"":"" ... In this battle, they're each pitching. \""Seventies sitcom star in trouble when his bipolar, drug-addicted son exploits him on TikTok and his ayahuasca shaman daughter comes to the rescue,\"" Shannon says, drafting a logline. \""That's what it looks like. It's crazy.\"" For his part ... "",""title"":""https://www.hollywoodreporter.com/business/business-news/good-times-john-amos-family-battle-children-1235639539/""},{""docid"":""76498"",""score"":15.558181062165497,""snippet"":"" ... James Arthur Ray often misused teachings, critics say\"" , The Arizona Republic, April 10, 2011. accessed April 13, 2011. In 2006 he appeared on CNN's Larry King Live and was one of several narrators in the film The Secret. He also appeared on the Today Show and Oprah ... "",""title"":""https://en.wikipedia.org/wiki/James_Arthur_Ray""},{""docid"":""8715"",""score"":14.885562319454763,""snippet"":"" ... Filmography, discography, songs\nother_names: * Bartholomew Cubbins, * Angakok Panipaq\nalma_mater: School of Visual Arts\noccupation: * Actor, * musician\npartner: Cameron Diaz (1999–2003)Valery Kaufman (2015–2022)\nfamily: Shannon Leto (brother)\nmodule: solo_singer Alternative rock Thirty Seconds to Mars\nawards: Full list\nwebsite: thirtysecondstomars.com\n\nembed: yes ... "",""title"":""https://en.wikipedia.org/wiki/Jared_Leto""}]"
3,58,2026-09-15T14:25:37.856959+00:00,Diamond Jenness 1915 Copper Inuit shaman mistaken,"[""diamond"",""jenness"",""1915"",""copper"",""inuit"",""shaman"",""mistaken""]","""diamond"" OR ""jenness"" OR ""1915"" OR ""copper"" OR ""inuit"" OR ""shaman"" OR ""mistaken""",5,24d302fdfd2d121a342667d327898b58adf89d8a9eb7fb43aa3b0b677f36d848,562820740f35dbdf127f8c904f197c0c9aa2c119fef3b12638eb61f2784bc22c,False,"[""d10"",""d11"",""d19"",""d20"",""d6""]","[""78189"",""67128"",""10838"",""6496"",""53714""]","[{""docid"":""78189"",""score"":44.39710852194862,""snippet"":"" ... The Life of the Copper Eskimos (1922). From my own perspective as an anthropologist working on Copper Inuit ethnohistory, the most exciting part of this book is the period from 13 April to 8 November 1915, when Jenness parted company with fellow expedition members on the mainland to ... "",""title"":""https://journalhosting.ucalgary.ca/index.php/arctic/article/download/64915/48829/184429""},{""docid"":""67128"",""score"":38.945513330195524,""snippet"":"" ... The Inuit and Diamond Jenness\"" states: \""His goal was to understand the Copper Inuit on their own terms, not in relation to some preconceived 'ladder of creation' with Europeans perched firmly at the top.\""Morrison, David \""Arctic Hunters: The Inuit and Diamond Jenness\"", 1992, Canadian Museum of Civilization ... "",""title"":""https://en.wikipedia.org/wiki/Diamond_Jenness""},{""docid"":""10838"",""score"":30.579129796915957,""snippet"":"" ... his ground-breaking study of the Copper Inuit, with whom he lived for two years from 1914 to 1916 in the then-extremely-remote and isolated high Arctic, living the same primal existence as had their forebears thousands of years earlier.\n\nJenness went on to undertake first-hand ... "",""title"":""https://glebereport.ca/articles/diamond-jenness-1886-1969/""},{""docid"":""6496"",""score"":22.199673860071865,""snippet"":"" ... Northwest craftsmen also had some local copper to work with. They made some of their arrowheads from it, as well as copper knives for weapons of war. They engraved designs on a plaque, called a \""copper,\"" that served in the place of a valuable bank note. One famous ... "",""title"":""https://kids.britannica.com/students/article/Indigenous-peoples-of-the-Americas/275046""},{""docid"":""53714"",""score"":21.67429586343077,""snippet"":"" ... In several instances, songs related to shamanism are intended to imitate natural sounds, via onomatopoeia.\n\nSound mimesis in various cultures may serve other functions not necessarily related to shamanism: practical goals such as luring game in the hunt; or entertainment (Inuit throat singing).\n\nInitiation and learning\n\nShamans often ... "",""title"":""https://en.wikipedia.org/wiki/Shamanism""}]"
3,64,2026-09-15T14:25:38.068814+00:00,Diamond Jenness encouraged report 1940 quarterly journal,"[""diamond"",""jenness"",""encouraged"",""report"",""1940"",""quarterly"",""journal""]","""diamond"" OR ""jenness"" OR ""encouraged"" OR ""report"" OR ""1940"" OR ""quarterly"" OR ""journal""",5,f8d85a865c7d8939bb3be01a840c1732943c5719ba5e059b185b7299815693b2,2da34344f2d490cbd824b3a883ff5a11679ab63e8b4babe5dbb1a56e62a7f449,False,"[""d11"",""d10"",""d21"",""d22"",""d23""]","[""67128"",""78189"",""37737"",""14455"",""75505""]","[{""docid"":""67128"",""score"":21.283156454753218,""snippet"":"" ... After their honeymoon in New Zealand, Jenness set about writing up his Arctic reports, and produced eight government reports in five volumes, totaling 1,368 pages.Jenness, Diamond and Stuart E. Jenness, 2008. \""Through Darkening Spectacles: Memoirs of Diamond Jenness\"" Mercury Series, History Paper 55, Gatineau, QC: Canadian ... "",""title"":""https://en.wikipedia.org/wiki/Diamond_Jenness""},{""docid"":""78189"",""score"":18.81801640753269,""snippet"":"" ... THE DIARY OF DIAMOND JENNESS, 1913-1916. Edited by STUARTE. JENNESS. Hull: Canadian Museum of Civilization, 1991. 902 p., 208 illus. (maps, photos and draw-ings), appendices, index, bib. Hardbound. Cdn$65.00. This superbly edited volume brings into public view the complete arctic diary of Diamond Jenness ... "",""title"":""https://journalhosting.ucalgary.ca/index.php/arctic/article/download/64915/48829/184429""},{""docid"":""37737"",""score"":18.040959710740307,""snippet"":"" ... High tech and the rise of Silicon Valley\n\nDuring the 1940s and 1950s, Frederick Terman, as dean of engineering and later as provost, encouraged faculty and graduates to start their own companies. He is credited with nurturing Hewlett-Packard, Varian Associates, and other high-tech firms, until what ... "",""title"":""https://en.wikipedia.org/wiki/History_of_Stanford_University""},{""docid"":""14455"",""score"":17.582094405427263,""snippet"":"" ... 1940 (U of Nebraska Press, 1998).\n* Kjølsvik, Idar, and Herborg Finnset. \""Norway's Millennium of Christianity and Decade of Celebration.\"" Lutheran Quarterly 34.4 (2020): 410–424.\n* Kunkeler, Nathaniël, and Martin Kristoffer Hamre. \""Conceptions and Practices of International Fascism in Norway, Sweden and the Netherlands, 1930–40.\"" Journal ... "",""title"":""https://en.wikipedia.org/wiki/History_of_Norway""},{""docid"":""75505"",""score"":17.4732610535798,""snippet"":"" ... We hope our efforts to demarcate these paths encourage their pursuit.\n\nInvited essay for the Entrepreneurship Research Journal Special Issue on \""Gender and Entrepreneurship\""\n\n1 Introduction\n\nScholarly interest in the existence, nature, and effects of gender-based stereotyping emerged very early in the development of the women's ... "",""title"":""https://www.degruyterbrill.com/document/doi/10.1515/erj-2022-0235/html?lang=en&srsltid=AfmBOopojixPsnA_7Ac5cnpYXzgUYMU04EVMAbq9zMSSGxFI5R8bY7Wu""}]"
3,70,2026-09-15T14:25:38.619792+00:00,Diamond Jenness 1940 report cultural discoveries journal 1888,"[""diamond"",""jenness"",""1940"",""report"",""cultural"",""discoveries"",""journal"",""1888""]","""diamond"" OR ""jenness"" OR ""1940"" OR ""report"" OR ""cultural"" OR ""discoveries"" OR ""journal"" OR ""1888""",5,b20fb9efae55e3c74a2b896d6f2de59173c5b26ec01b47dab6530117c23578af,244a994e8411643fde217ea93cbc6533b5714e289a115cfa99e0505748c1cee7,False,"[""d11"",""d10"",""d24"",""d25"",""d26""]","[""67128"",""78189"",""83498"",""25100"",""69404""]","[{""docid"":""67128"",""score"":22.96486998169891,""snippet"":"" ... After their honeymoon in New Zealand, Jenness set about writing up his Arctic reports, and produced eight government reports in five volumes, totaling 1,368 pages.Jenness, Diamond and Stuart E. Jenness, 2008. \""Through Darkening Spectacles: Memoirs of Diamond Jenness\"" Mercury Series, History Paper 55, Gatineau, QC: Canadian ... "",""title"":""https://en.wikipedia.org/wiki/Diamond_Jenness""},{""docid"":""78189"",""score"":20.28649519306057,""snippet"":"" ... However, for research libraries and those professionals and amateurs interested in northem cultures and the history of arctic exploration (or the lives of great Canadians) this work is well worth the investment.\nREFERENCES JENNESS, D. 1922. The life of the Copper Eskimos. Report of the Canadian \n. 1928. The ... "",""title"":""https://journalhosting.ucalgary.ca/index.php/arctic/article/download/64915/48829/184429""},{""docid"":""83498"",""score"":20.054977552974382,""snippet"":"" ... This made China become the world's first print culture.\n* Late 3rd century – Early 4th century: Water turbine in the Roman Empire in modern-day Tunisia.Wilson, Andrew (1995): \""Water-Power in North Africa and the Development of the Horizontal Water-Wheel\"", Journal of Roman Archaeology, Vol. 8 ... "",""title"":""https://en.wikipedia.org/wiki/Timeline_of_historic_inventions""},{""docid"":""25100"",""score"":19.915126618168593,""snippet"":"" ... 1556 to 1940, translated and edited by Thomas D. Brock, ASM Press. 1998, p220.\n\n- Hellriegel and Wilfarth describe symbiotic nitrogen fixation by nodulated legumes. Hellriegel first reported this to a scientific meeting in September 1886, and published a somewhat more extensive paper a few weeks later. The 1888 ... "",""title"":""https://lib.guides.umbc.edu/c.php?g=836720&p=6561140""},{""docid"":""69404"",""score"":19.591092309788053,""snippet"":"" ... The combination of education and economic independence would lead to a \""better womanhood,\"" the Populists believed, which in turn would lead to freer and therefore better choices in marriage and a more culturally elevated farm life. The latest discoveries in biology and evolutionary thinking also led to speculations ... "",""title"":""https://digital.lib.niu.edu/illinois/gildedage/populism""}]"
3,76,2026-09-15T14:25:39.166250+00:00,Jenness anthropologist 1940 published report quarterly journal,"[""jenness"",""anthropologist"",""1940"",""published"",""report"",""quarterly"",""journal""]","""jenness"" OR ""anthropologist"" OR ""1940"" OR ""published"" OR ""report"" OR ""quarterly"" OR ""journal""",5,5e5f6e8a1a93c7e1e0716ea614dfd2a5e58143628d9866f262afe0204fd17998,c66299599dc3217fc9ad47d67bb3ac49f5144707b15714d23c4b62133d2ea7af,False,"[""d27"",""d10"",""d11"",""d28"",""d29""]","[""28741"",""78189"",""67128"",""52299"",""82427""]","[{""docid"":""28741"",""score"":24.62044777768842,""snippet"":"" ... journal is going to publish presumably. I haven't seen any guidelines distributed as to what kind of articles the journal is looking for. Presumably, it will be selecting paradigmatic articles that will not necessarily reflect current problems, or current information any more than American Antiquity, American Anthropologist ... "",""title"":""https://anthro.ufl.edu/about-us/history-of-the-anthropology-department/charles-h-fairbanks/""},{""docid"":""78189"",""score"":22.95316485988318,""snippet"":"" ... Although this book does not have the poignancy and simple elegance of Jenness's The People of the Twilight (1928) or Dawn in Arctic Alaska (1957), both of which were based largely upon the anthropologist's daily journals, Arctic Odyssey constitutes an important primary document about one of ... "",""title"":""https://journalhosting.ucalgary.ca/index.php/arctic/article/download/64915/48829/184429""},{""docid"":""67128"",""score"":22.48777202169174,""snippet"":"" ... de Laguna's obituary of Jenness in the American Anthropologist lists 109 publications, and the University of Calgary's: Arctic 23-2-71 obituary of Jenness by Collins, Henry B. & Taylor, William E. Jr. lists 98.\n\nBiographies\n\nNansi Swayze published a brief popular account about Jenness's life ... "",""title"":""https://en.wikipedia.org/wiki/Diamond_Jenness""},{""docid"":""52299"",""score"":21.408471960573564,""snippet"":"" ... a short history of radiocarbon, 1946–1960 | The British Journal for the History of Science\ndate: 2025-06-09\n---\nIntroduction\n\nOn the evening of 9 January 1948, Willard F. Libby gave a talk on 'Archaeological ages by natural radiocarbon' at an informal supper conference for anthropologists at the ... "",""title"":""https://www.cambridge.org/core/journals/british-journal-for-the-history-of-science/article/archaeology-enters-the-atomic-age-a-short-history-of-radiocarbon-19461960/855D6E2E66D09F7467C6051C77C2D6B0""},{""docid"":""82427"",""score"":19.22922848768876,""snippet"":"" ... Publications such as the Mankind Quarterly, founded explicitly as a \""race-conscious\"" journal, are generally regarded as platforms of scientific racism because they publish fringe interpretations of human evolution, intelligence, ethnography, language, mythology, archaeology, and race.\n\nAntecedents\n\nEnlightenment thinkers\n\nDuring the Age of Enlightenment (an era from the ... "",""title"":""https://en.wikipedia.org/wiki/Scientific_racism""}]"
5,101,2026-09-15T14:25:46.104105+00:00,Diamond Jenness shaman mistaken angakok word,"[""diamond"",""jenness"",""shaman"",""mistaken"",""angakok"",""word""]","""diamond"" OR ""jenness"" OR ""shaman"" OR ""mistaken"" OR ""angakok"" OR ""word""",5,960c431c405467dc6600f1ed3d0a44a6965c759fd077cbbdb078a9c1ca77e465,af533bd50c3d773c54e30e549eaab5fb606d53a2d9447e9df8c0d2639198366c,False,"[""d10"",""d11"",""d18"",""d30"",""d31""]","[""78189"",""67128"",""8715"",""72439"",""59080""]","[{""docid"":""78189"",""score"":22.451185816257393,""snippet"":"" ... THE DIARY OF DIAMOND JENNESS, 1913-1916. Edited by STUARTE. JENNESS. Hull: Canadian Museum of Civilization, 1991. 902 p., 208 illus. (maps, photos and draw-ings), appendices, index, bib. Hardbound. Cdn$65.00. This superbly edited volume brings into public view the complete arctic diary of Diamond Jenness ... "",""title"":""https://journalhosting.ucalgary.ca/index.php/arctic/article/download/64915/48829/184429""},{""docid"":""67128"",""score"":20.874430968768756,""snippet"":"" ... Roberts with Jenness's word translations can be found in the monograph \""Songs of the Copper Eskimos\"" (1925).Roberts, Helen Hefron and Diamond Jenness \""Songs of the Copper Eskimos. Report of the Canadian Arctic Expedition, 1913-18, Southern Party 1913-16, Volume XIV\"" Ottawa : F.A. Acland, 1925 ... "",""title"":""https://en.wikipedia.org/wiki/Diamond_Jenness""},{""docid"":""8715"",""score"":14.885562319454763,""snippet"":"" ... Filmography, discography, songs\nother_names: * Bartholomew Cubbins, * Angakok Panipaq\nalma_mater: School of Visual Arts\noccupation: * Actor, * musician\npartner: Cameron Diaz (1999–2003)Valery Kaufman (2015–2022)\nfamily: Shannon Leto (brother)\nmodule: solo_singer Alternative rock Thirty Seconds to Mars\nawards: Full list\nwebsite: thirtysecondstomars.com\n\nembed: yes ... "",""title"":""https://en.wikipedia.org/wiki/Jared_Leto""},{""docid"":""72439"",""score"":14.638891679025207,""snippet"":"" ... 2023-11-25\n---\nanimism\n\n- Related Topics:\n\n- nature worship\n\n- totemism\n\n- shamanism\n\n- mana\n\n- ancestor worship\n\n- On the Web:\n\n- UCL Discovery - The Social Agency of Things? Animism and Materiality in the Andes (PDF) (May 21, 2025)\n\nanimism, belief in innumerable spiritual beings concerned with human affairs and capable of helping or ... "",""title"":""https://www.britannica.com/topic/animism""},{""docid"":""59080"",""score"":14.014452166702378,""snippet"":"" ... White alternates between solo projects and collaborations in his music and appears almost like a modern day shaman who walks the earth lightly.\n\nHis incredible resolve to ride the surf board of life, despite the squall of the ocean tides, is more than memorable in his debut book ... "",""title"":""https://www.lonesomehighway.com/features-1""}]"
