round,ref,visible,shelf_restored,shelf_evicted
1,e1,False,False,False
1,e2,False,False,False
2,e1,False,False,False
2,e2,False,False,False
3,e1,False,False,False
3,e2,False,False,False
4,e1,False,False,False
4,e2,False,False,False
5,e1,False,False,False
5,e2,False,False,False
6,e1,False,False,False
6,e2,False,False,False
7,e1,False,False,False
7,e2,False,False,False
8,e1,False,False,False
8,e2,False,False,False
9,e1,False,False,False
9,e2,False,False,False
10,e1,False,False,False
10,e2,False,False,False
11,e1,False,False,False
11,e2,False,False,False
12,e1,False,False,False
12,e2,False,False,False
13,e1,False,False,False
13,e2,False,False,False
14,e1,False,False,False
14,e2,False,False,False
15,e1,False,False,False
15,e2,False,False,False
16,e1,False,False,False
16,e2,False,False,False
17,e1,False,False,False
17,e2,False,False,False
18,e1,False,False,False
18,e2,False,False,False
19,e1,False,False,False
19,e2,False,False,False
20,e1,False,False,False
20,e2,False,False,False
21,e1,False,False,False
21,e2,False,False,False
22,e1,False,False,False
22,e2,False,False,False
23,e1,False,False,False
23,e2,False,False,False
24,e1,False,False,False
24,e2,False,False,False
25,e1,False,False,False
25,e2,False,False,False
26,e1,False,False,False
26,e2,False,False,False
27,e1,False,False,False
27,e2,False,False,False
28,e1,False,False,False
28,e2,False,False,False
29,e1,False,False,False
29,e2,False,False,False
30,e1,False,False,False
30,e2,False,False,False
31,e1,False,False,False
31,e2,False,False,False
32,e1,False,False,False
32,e2,False,False,False
33,e1,True,False,False
33,e2,True,False,False
34,e1,True,False,False
34,e2,True,False,False
35,e1,True,False,False
35,e2,True,False,False
36,e1,True,False,False
36,e2,True,False,False
37,e1,True,False,False
37,e2,True,False,False
38,e1,True,True,False
38,e2,True,True,False
39,e1,True,True,False
39,e2,True,True,False
40,e1,True,True,False
40,e2,True,True,False
41,e1,True,True,False
41,e2,True,True,False
42,e1,True,True,False
42,e2,True,True,False
43,e1,True,True,False
43,e2,True,True,False
44,e1,True,True,False
44,e2,True,True,False
45,e1,True,True,False
45,e2,True,True,False
46,e1,True,True,False
46,e2,True,True,False
47,e1,True,True,False
47,e2,True,True,False
48,e1,True,True,False
48,e2,True,True,False
49,e1,True,True,False
49,e2,True,True,False
50,e1,True,True,False
50,e2,True,True,False
51,e1,True,True,False
51,e2,True,True,False
52,e1,True,True,False
52,e2,True,True,False
53,e1,True,True,False
53,e2,True,True,False
54,e1,True,True,False
54,e2,True,True,False
55,e1,True,True,False
55,e2,True,True,False
56,e1,True,True,False
56,e2,True,True,False
57,e1,True,True,False
57,e2,True,True,False
58,e1,True,True,False
58,e2,True,True,False
59,e1,True,True,False
59,e2,True,True,False
60,e1,True,True,False
60,e2,True,True,False
61,e1,True,True,False
61,e2,True,True,False
62,e1,True,True,False
62,e2,True,True,False
63,e1,True,True,False
63,e2,True,True,False
64,e1,True,True,False
64,e2,True,True,False
