round,seq,utc,query,terms,expression,top_k,equivalence_key,cache_key,cached,returned_dN,returned_docids,result_docs
1,6,2026-09-15T14:21:12.130380+00:00,Perfectly formed Indian descent actor born 1950s,"[""perfectly"",""formed"",""indian"",""descent"",""actor"",""born"",""1950s""]","""perfectly"" OR ""formed"" OR ""indian"" OR ""descent"" OR ""actor"" OR ""born"" OR ""1950s""",5,ad0ce633b0bfcd5f55cfd8c042e457303ec16c3628798577360a7f6c8869df38,566fd7284eead929900d8a1a15937f48ec9b416ececa009b4d6afc262912d7f4,False,"[""d1"",""d2"",""d3"",""d4"",""d5""]","[""21993"",""48231"",""16676"",""99494"",""31750""]","[{""docid"":""21993"",""score"":19.106631593122124,""snippet"":"" ... Full list\n\nRaj Kapoor (; born as Shrishti Nath Kapoor; 14 December 1924 2 June 1988; also known as Ranbir Raj Kapoor) was an Indian actor, film director and producer, who worked in Hindi cinema.*\n* He is considered to be one of the greatest and most influential actors and ... "",""title"":""https://en.wikipedia.org/wiki/Raj_Kapoor""},{""docid"":""48231"",""score"":18.777341658790817,""snippet"":"" ... Criminal Intent)[commentary on The Whole Wide World]\n* Giancarlo Esposito (born 1958) Italian father and African-American mother – film actor \""Half-African American, half-Italian\""\n* Cristina Ferrare (born 1950) actress of Italian descent (The Impossible Years)\n* Lou Ferrigno (born 1951) bodybuilder and actor (The Hulk)\n* Robert Hegyes (1951 ... "",""title"":""https://en.wikipedia.org/wiki/List_of_Italian-American_actors""},{""docid"":""16676"",""score"":18.420289307748895,""snippet"":"" ... By the mid-1950s, those who remained settled in the then vibrant black neighborhoods of Tremé in New Orleans, Black Bottom in Detroit, West Baltimore, and Harlem in New York. Many started families with Creoles, Puerto Ricans, and African Americans. An example is Indian-born Hucheshwar Gurusidha Mudgal ... "",""title"":""https://en.wikipedia.org/wiki/Racial_classification_of_Indian_Americans""},{""docid"":""99494"",""score"":18.418645865231937,""snippet"":"" ... John Cho, a Korean-born American actor, famously portrayed Hikaru Sulu in the Star Trek reboot, as well as appearing in the first American Pie series and the Harold & Kumar series along with Indian American actor Kal Penn. Penn, also starred in The Namesake, one of his favorite ... "",""title"":""https://en.wikipedia.org/wiki/Asian_Americans_in_arts_and_entertainment""},{""docid"":""31750"",""score"":18.23506439096041,""snippet"":"" ... Naseeruddin Shah Signature\n\nNaseeruddin Shah (born 20 July 1950) is an Indian actor. He was notable in Indian parallel cinema and has starred in various international productions. He has won numerous awards in his career, including three National Film Awards, three Filmfare Awards and the Volpi Cup for ... "",""title"":""https://en.wikipedia.org/wiki/Naseeruddin_Shah""}]"
1,14,2026-09-15T14:21:12.797877+00:00,short film directed with nephew Indian heritage,"[""short"",""film"",""directed"",""with"",""nephew"",""indian"",""heritage""]","""short"" OR ""film"" OR ""directed"" OR ""with"" OR ""nephew"" OR ""indian"" OR ""heritage""",5,f5ebfc4c43d11ea49c8481ee8611be8c604ce0be16ca1e941480cceb012f669c,0ab4ec904e53f03cd8efd64f2b0c717956622fa5893f6a2d90ea1ff7af347f92,False,"[""d6"",""d7"",""d8"",""d9"",""d10""]","[""97295"",""78253"",""53720"",""93643"",""4441""]","[{""docid"":""97295"",""score"":16.74922983605009,""snippet"":"" ... The media was ever scrutinous of Hollywood actresses and many film critics were dubious of Merle's origins, perhaps fuelled by the occasional slip-ups in her accent, which revealed a glimpse of her South-Asian heritage. One film critic went so far as to write, \""Merle Oberon ... "",""title"":""https://www.messynessychic.com/2022/12/07/hollywoods-own-dark-angel-was-an-indian-actress-playing-the-biggest-role-of-her-life/""},{""docid"":""78253"",""score"":16.4551365145127,""snippet"":"" ... In 1983, her Anglo-Indian heritage was revealed in a biography, Princess Merle: The Romantic Life of Merle Oberon. The authors found her birth record in Bombay, her baptismal certificate, and letters and photographs her Indian relatives had.\n\nThrough his book, Sen hopes to be able to convey ... "",""title"":""https://www.bbc.com/news/world-asia-india-61079732""},{""docid"":""53720"",""score"":15.939114731898478,""snippet"":"" ... With the help of lighting and makeup, Oberon made The Divorce of Lady X in 1938 with Laurence Olivier. Her next film and her best-known, 1939's Wuthering Heights also with Olivier, was made for Samuel Goldwyn and directed by William Wyler.\n\nOlivier and Oberon did not ... "",""title"":""https://goldenglobes.com/articles/forgotten-hollywood-merle-oberon-and-her-lifelong-secret/""},{""docid"":""93643"",""score"":15.553804826106617,""snippet"":"" ... It was produced by Herbert Klynn and Jules Engel of Format Films, Hollywood, and designed and animated at the Halas and Batchelor Cartoon Film studios in London, England. The show lasted thirty episodes; however, these were invariably split into three separate shorts, with the middle segment being a ... "",""title"":""https://en.wikipedia.org/wiki/Lone_Ranger""},{""docid"":""4441"",""score"":15.162377253535967,""snippet"":"" ... directed, with Edenshaw and his brother being co-screenwriters, with Graham Richard and Leonie Sandercock.\n\nChristopher Auchter, the nephew of Michael Nicoll Yahgulanaas, has created a number of Haida centered films. In 2017 he directed the animated film The Mountain of SGaana, inspired by Haida mythology. His short ... "",""title"":""https://en.wikipedia.org/wiki/Haida_people""}]"
1,22,2026-09-15T14:21:13.595232+00:00,dinosaur sci-fi adventure English film series director,"[""dinosaur"",""sci"",""fi"",""adventure"",""english"",""film"",""series"",""director""]","""dinosaur"" OR ""sci"" OR ""fi"" OR ""adventure"" OR ""english"" OR ""film"" OR ""series"" OR ""director""",5,aed80d13be2a9662b93adce2a41a7f5d0a3752294d1e231965d7f0a8b2157b39,1144f7f5b91bb669520614fafa2a11a72115e7b9f952062814de6000e8cacc91,False,"[""d11"",""d12"",""d13"",""d14"",""d15""]","[""78838"",""90909"",""75001"",""63794"",""70577""]","[{""docid"":""78838"",""score"":29.040735304310807,""snippet"":"" ... sci-fi flick following two conspiracy-obsessed men who kidnap the CEO of a major company. Why? Because they think she's an alien who is about to destroy Earth. It sort of already exists, though not in English, as this is based on the South Korean film ... "",""title"":""https://www.space.com/upcoming-sci-fi-movies""},{""docid"":""90909"",""score"":27.66961530028786,""snippet"":"" ... Abrams, this reboot of the iconic franchise explores the origins of the Enterprise crew, blending action, adventure, and character development, while introducing the series to a new generation.\n\nBEST SCI- FI MOVIES OF THE 2010's\n\nBeyond the Black Rainbow (2010)\n\nThis visually striking film by Panos Cosmatos ... "",""title"":""https://blog.abracadabranyc.com/top-science-fiction-movies-by-decade/""},{""docid"":""75001"",""score"":27.633924591400728,""snippet"":"" ... BARBARA SHELLEY — This appealing British leading lady appeared in several English-made horror and sci-fi films during the 1960s, such as \""Five Million Years to Earth\"" and \""Village of the Damned\"". She always reminds me of the lovely Eleanor Parker, both in appearance and acting style.\n\nSHAWN ... "",""title"":""http://www.allsci-fi.com/viewtopic.php?t=2577""},{""docid"":""63794"",""score"":26.27162932650696,""snippet"":"" ... In the 1990s, Lost in Space was remade as a sci-fi adventure movie starring William Hurt, Matt LeBlanc, Gary Oldman, and Heather Graham. Directed by Stephen Hopkins, the movie also saw some actors from the original series make cameo appearances.\n\nThe show was also remade as another ... "",""title"":""https://www.monstercomplex.com/blog/23-iconic-robot-tv-showsincluding-robot-monster-on-mst3k-star-trek-westworld-and-more""},{""docid"":""70577"",""score"":26.12022576288202,""snippet"":"" ... Click below on your favorite genre and dive into the wonderful world of silent film with two suggestions tailored to your specific tastes and interests!\n\nIntroduction—Animation—Comedy—Documentary—Fantasy—Gangster—Historical Epic—Horror—Melodrama—Romantic Comedy—Sci-Fi—Social Issue Drama—Western\n\nAnimation\n\nThe Adventures of Prince ... "",""title"":""https://theeverydaycinephile.com/blogathons/12-genres-24-must-see-silent-movie-day/""}]"
2,38,2026-09-15T14:21:18.172535+00:00,Ray Harryhausen film 91 minutes actor Indian,"[""ray"",""harryhausen"",""film"",""91"",""minutes"",""actor"",""indian""]","""ray"" OR ""harryhausen"" OR ""film"" OR ""91"" OR ""minutes"" OR ""actor"" OR ""indian""",5,fd714b43d077cb58cf1077a512bea190e52546f2ccb087fa87f52030eaa02c46,28274a272e79ac5070316f4147e1276fd7e90699e5f9656e739a4338e691b431,False,"[""d16"",""d17"",""d18"",""d19"",""d20""]","[""77440"",""53433"",""30031"",""70130"",""28577""]","[{""docid"":""77440"",""score"":28.22034117446801,""snippet"":"" ... The Dinosaur Films of Ray Harryhausen: Features, Early 16mm Experiments and Unrealized Projects. Jefferson, N.C.: McFarland & Co., 2004, p. 193.\n\nCasting\n\nSchneer deliberately sought better known actors to play the Gods to improve the film's chances at the box office. \""If we had played this picture ... "",""title"":""https://en.wikipedia.org/wiki/Clash_of_the_Titans_(1981_film)""},{""docid"":""53433"",""score"":26.954732145879152,""snippet"":"" ... 104 minutes\ncountry: United States August 17, 2016 Jason and the Argonauts (1963) 16 March 2018United KingdomClayton Wickham 2015 Style and Form in the Hollywood Slasher Film Basingstoke, Hampshire Palgrave Macmillan 978-1-137-49646-1\nlanguage: English\nbudget: $3 million Ray Harryhausen on making Jason and the ... "",""title"":""https://en.wikipedia.org/wiki/Jason_and_the_Argonauts_(1963_film)""},{""docid"":""30031"",""score"":26.12460546945994,""snippet"":"" ... Creative special-effects master Ray Harryhausen developed his legendary stop-motion animation techniques to perfection in his best science-fiction film ever - director Don Chaffey's Jason and the Argonauts (1963). Chaffey also directed Raquel Welch in a furry bikini (boosting bikini sales), who followed banished tribesman Tumak ... "",""title"":""https://www.filmsite.org/60sintro2.html""},{""docid"":""70130"",""score"":25.560891516272292,""snippet"":"" ... his 1981 film Clash of the Titans.\n\nIndeed, Ray Harryhausen's Medusa is one of the most recognisable characters in model-animation cinema history.\n\nFor such a pivotal character in the Ray Harryhausen canon of creations, Medusa spends little time on screen—just under five minutes—and yet ... "",""title"":""https://blog.scienceandmediamuseum.org.uk/ray-harryhausen-changed-our-perception-of-medusa-forever/""},{""docid"":""28577"",""score"":25.42654432939409,""snippet"":"" ... 1 star added to the deserved 'awful' rating for sheer goofiness, and also for the naiveté and optimism that permeates the film.\n\nDid you know\n\n- TriviaMr. BIG (Bert I Gordon) actually reviewed dinosaur footage brought in by Ray Harryhausen and Ray Bradbury and did not even acknowledge them ... "",""title"":""https://www.imdb.com/title/tt0048256/""}]"
2,46,2026-09-15T14:21:18.675627+00:00,short film directed with nephew Ray Harryhausen cast,"[""short"",""film"",""directed"",""with"",""nephew"",""ray"",""harryhausen"",""cast""]","""short"" OR ""film"" OR ""directed"" OR ""with"" OR ""nephew"" OR ""ray"" OR ""harryhausen"" OR ""cast""",5,dfc268b961e4dd9f5102382c67d6c452ba626e3c958e553db4e959d2a09fd451,61992105496d33fcae6688646938309093fcda3fe68eac575a3ae80858b9d217,False,"[""d16"",""d17"",""d19"",""d21"",""d22""]","[""77440"",""53433"",""70130"",""43339"",""77575""]","[{""docid"":""77440"",""score"":27.560079856996772,""snippet"":"" ... Films of Ray Harryhausen: Features, Early 16mm Experiments and Unrealized Projects. Jefferson, N.C.: McFarland & Co., 2004, p. 193.\n\nCasting\n\nSchneer deliberately sought better known actors to play the Gods to improve the film's chances at the box office. \""If we had played this picture with no ... "",""title"":""https://en.wikipedia.org/wiki/Clash_of_the_Titans_(1981_film)""},{""docid"":""53433"",""score"":27.425602124370233,""snippet"":"" ... Variety magazine wrote: \""The $3 million film has a workable scenario and has been directed resourcefully and spiritedly by Don Chaffey, under whose leadership a colorful cast performs with zeal.\""\n\nRay Harryhausen regarded the film as his best.Jason and the Argonauts. Culver City: Columbia TriStar Home Video ... "",""title"":""https://en.wikipedia.org/wiki/Jason_and_the_Argonauts_(1963_film)""},{""docid"":""70130"",""score"":27.039134059963686,""snippet"":"" ... film The Gorgon, directed by Terence Fisher. Played by Prudence Hyman with rubber snakes in her hair, the character looked more like Cinderella's Stepmother than a fearsome vengeful creature (Harryhausen never referred to his creations as monsters).\n\nThe earliest illustration of Medusa in the Ray Harryhausen Collection ... "",""title"":""https://blog.scienceandmediamuseum.org.uk/ray-harryhausen-changed-our-perception-of-medusa-forever/""},{""docid"":""43339"",""score"":24.321451127069377,""snippet"":"" ... Despite Bubo's similarities (Bubo is metallic and expresses by whistling and rotating its head) to the droid R2-D2 of the 1977 film Star Wars, Harryhausen claimed Bubo was created before Star Wars was released.Ray Harryhausen and Tony Dalton, Ray Harryhausen: An Animated Life, page 270 ... "",""title"":""https://en.wikipedia.org/wiki/Star_Wars_sources_and_analogues""},{""docid"":""77575"",""score"":24.141341730386777,""snippet"":"" ... Documentaries\n\n* The Fantasy Film Worlds of George Pal (1985), produced and directed by Arnold Leibovit, Bradbury appeared in the documentary.\n*\n* Interview with Ray Bradbury (1979) at California State University, Northridge\n\nCitations\n\nGeneral and cited sources\n\n* \n* \n* \n* \n* \n* \n* \n* \n* \n* \n\nExternal links\n\n* \n* Center for Ray Bradbury Studies, at Indiana University Purdue University Indianapolis ... "",""title"":""https://en.wikipedia.org/wiki/Ray_Bradbury""}]"
2,51,2026-09-15T14:21:19.480594+00:00,actor born 1950s Indian immigrant parents Harryhausen film,"[""actor"",""born"",""1950s"",""indian"",""immigrant"",""parents"",""harryhausen"",""film""]","""actor"" OR ""born"" OR ""1950s"" OR ""indian"" OR ""immigrant"" OR ""parents"" OR ""harryhausen"" OR ""film""",5,68dcc8b460049b3898a31f91f28608ee8b6b523c22f04cfe3144620650335ccd,baed522757092e6666f425e27c763eae5d5816271829e0a1d23e94f5e3b2202e,False,"[""d16"",""d22"",""d18"",""d23"",""d24""]","[""77440"",""77575"",""30031"",""11875"",""70474""]","[{""docid"":""77440"",""score"":25.267069804153714,""snippet"":"" ... The Dinosaur Films of Ray Harryhausen: Features, Early 16mm Experiments and Unrealized Projects. Jefferson, N.C.: McFarland & Co., 2004, p. 193.\n\nCasting\n\nSchneer deliberately sought better known actors to play the Gods to improve the film's chances at the box office. \""If we had played this picture ... "",""title"":""https://en.wikipedia.org/wiki/Clash_of_the_Titans_(1981_film)""},{""docid"":""77575"",""score"":24.54867746183977,""snippet"":"" ... Containing the prologue and three short stories from the book, the film received mediocre reviews. The same year, Bradbury approached composer Jerry Goldsmith, who had worked with Bradbury in dramatic radio of the 1950s and later scored the film version, to compose a cantata Christus Apollo based on ... "",""title"":""https://en.wikipedia.org/wiki/Ray_Bradbury""},{""docid"":""30031"",""score"":24.293636897323314,""snippet"":"" ... A few years later, a third Beatles-related film, the UK's animated, kaleidoscopic fantasy musical Yellow Submarine (1968) with a score by George Martin, featured a Nowhere Man, actors' voices standing in for the actual Beatles, and an invasion of Blue Meanies on Pepperland. Other British films ... "",""title"":""https://www.filmsite.org/60sintro2.html""},{""docid"":""11875"",""score"":23.861106824495014,""snippet"":"" ... base) and whose parents had been reprogrammed into strange-acting zombies. Earth vs. The Flying Saucers (1956) showed the destruction of the Washington Monument and the Capitol Building by alien spacecraft, with special effects by Ray Harryhausen. Christian Nyby's classic sci-fi/monster film The Thing (From ... "",""title"":""https://www.filmsite.org/50sintro5.html""},{""docid"":""70474"",""score"":23.30490608501395,""snippet"":"" ... No other producer had so influenced the German film like Erich Pommer.\""\n* Chris Pratt – actor\n* Laura Prepon – actress\n* Freddie Prinze Jr. – actor\n* Jürgen Prochnow – actor\n* George Raft (born George Ranft) – actor \""Raft was born George Ranft in ****'s Kitchen, New York City to Conrad Ranft (a German immigrant ... "",""title"":""https://en.wikipedia.org/wiki/List_of_German_Americans""}]"
3,64,2026-09-15T14:21:22.708472+00:00,Don Chaffey filmography 91 minutes running time,"[""don"",""chaffey"",""filmography"",""91"",""minutes"",""running"",""time""]","""don"" OR ""chaffey"" OR ""filmography"" OR ""91"" OR ""minutes"" OR ""running"" OR ""time""",5,bf8d87ab08c743c561f5ff21822f5977cdde7e7e0e3d8806bce3c9e8d6bbdea0,cac3f3cdf7821593c788c433ea8332c71c67aad855d93367d89ea20c7db8db77,False,"[""d25"",""d26"",""d17"",""d27"",""d28""]","[""50848"",""33322"",""53433"",""31449"",""97534""]","[{""docid"":""50848"",""score"":20.209875753824907,""snippet"":"" ... Don Chaffey's Jason and the Argonauts is an outlandish, transportive piece of nostalgia whose real star is the masterful stop-motion animation work of Ray Harryhausen.\n\nSynopsis: After saving the life of his royal father's usurper, Pelias (Douglas Wilmer), whom he fails to recognize, Jason (Todd ... "",""title"":""https://editorial.rottentomatoes.com/guide/best-stop-motion-animated-movies/""},{""docid"":""33322"",""score"":19.6396681947789,""snippet"":"" ... Alexander, The Life of George Chaffey, (Melbourne: Macmillan Co., 1928). p. 62.\n\n[iv]\""Ontario,\"" Los Angeles Times, October. 20, 1885, p. 4.\n\n[v]Esther Boulton Black, \""Ordeal in Australia,\"" Pomona Valley Historian, vol. VII, no. 5, April 1971, p. 61.\n\n[vi]Ontario Observer, May 24, 1901, p. 1 ... "",""title"":""https://cjuhsd.net/apps/pages/index.jsp?uREC_ID=1772707&type=d&pREC_ID=1952189""},{""docid"":""53433"",""score"":18.942281840894644,""snippet"":"" ... Don Chaffey\nproducer: Charles H. Schneer\nwriter: Beverley CrossJan Read\nbased_on: The Argonautica3rd century BC Apollonius Rhodius\nstarring: * Todd Armstrong, * Nancy Kovack, * Honor Blackman, * Gary Raymond\nmusic: Bernard Herrmann\ncinematography: Wilkie Cooper\nediting: Maurice Rootes\nstudio: Morningside Productions\ndistributor: Columbia Pictures\nreleased: 13 06 1963\nruntime: 104 ... "",""title"":""https://en.wikipedia.org/wiki/Jason_and_the_Argonauts_(1963_film)""},{""docid"":""31449"",""score"":17.523039029833935,""snippet"":"" ... David Baird, M.C | Don Chaffey | |\n| 1960 | Never Let Go | John Cummings | John Guillermin | |\n| 1961 | The Long and the Short and the Tall | Sgt. Mitchem | Leslie Norman | |\n| 1961 | Don't Bother to Knock | Bill Ferguson | Cyril Frankel | |\n| 1961 | The Hellions | Sgt. Sam Hargis | Ken Annakin | |\n| 1962 | Le Crime ... "",""title"":""https://en.wikipedia.org/wiki/Richard_Todd""},{""docid"":""97534"",""score"":16.00775544530257,""snippet"":"" ... In addition a great deal of polishing and additional material was needed, as the short script had an estimated running time of just 55 minutes, far less than the minimum of 90 minutes needed for distribution in the U.K. Accordingly, comments on the script from Hammer's ... "",""title"":""https://en.wikipedia.org/wiki/Hammer_Film_Productions""}]"
3,71,2026-09-15T14:21:23.347344+00:00,One Million Years B.C. running time 91 minutes cast,"[""one"",""million"",""years"",""b"",""c"",""running"",""time"",""91"",""minutes"",""cast""]","""one"" OR ""million"" OR ""years"" OR ""b"" OR ""c"" OR ""running"" OR ""time"" OR ""91"" OR ""minutes"" OR ""cast""",5,ecc23d22e4103faf1bf0eac0e4dbbed9dfaab8a2138ec4d068c9fbcf2bb23f2c,1a19394acd596f7d09b4f7c7712a5a4ad5a80cdc0e49ae7c77470a9e69130d51,False,"[""d29"",""d30"",""d31"",""d32"",""d33""]","[""69371"",""97967"",""71357"",""84054"",""96983""]","[{""docid"":""69371"",""score"":15.287896643364387,""snippet"":"" ... 91 minutes.\n\nPlot: An error committed by workers on a secret government project cause nearly the entire population of Earth to be transferred to another dimension.\n\nR\n\nRadar Men from the Moon (1952).\n\nDirector: Fred C. Brannon.\n\nCast: George Wallace, Aline Towne, Roy Barcroft.\n\nB & W. Not rated ... "",""title"":""https://space-facts.com/films-set-on-other-planets/""},{""docid"":""97967"",""score"":14.11775651037581,""snippet"":"" ... Part 2,\"" based on Frank Herbert's iconic 1965 sci-fi novel, making it one of the top-grossing movies of the year with $282 million domestically. Even more recent is the film \""Wicked,\"" whose adaptation lineage runs deep: It's based on the hit 2003 Broadway musical ... "",""title"":""https://stacker.com/stories/movies/100-best-movies-based-books""},{""docid"":""71357"",""score"":13.64671136641016,""snippet"":"" ... c = the amount lent ; r = interest on the amount, c ; p = per cent, in the certain time. Analogy, c : r = 100 ; p. If p is the per cent, on 100 in one year, then t = time in years for the standing capital c and the interest r. Analogy ... "",""title"":""https://archive.org/stream/mechanicalengine00supl_0/mechanicalengine00supl_0_djvu.txt""},{""docid"":""84054"",""score"":13.518075013251876,""snippet"":"" ... Sanchez, one day after the anchor made comments on a radio show that referred to Jon Stewart as a \""bigot\"" and suggested that CNN is run by Jewish people. |\n| 6 | BET's 106 & Park celebrates its 10th anniversary. |\n| 8 | For the first time in its 46 years, PBS ... "",""title"":""https://en.wikipedia.org/wiki/2010_in_American_television""},{""docid"":""96983"",""score"":13.342943189811116,""snippet"":"" ... 126 is a lever (A), resting on a fulcrum (B), the fulcrum being so placed that the lever is four times longer on one side than on the other. A weight (C) of 4 pounds is placed on the short \""^ 7^1^. 1R6. Simple Lever end, and a ... "",""title"":""https://archive.org/stream/practicalmechani00zerb/practicalmechani00zerb_djvu.txt""}]"
3,79,2026-09-15T14:21:25.549618+00:00,actor described themselves perfectly formed Indian parents,"[""actor"",""described"",""themselves"",""perfectly"",""formed"",""indian"",""parents""]","""actor"" OR ""described"" OR ""themselves"" OR ""perfectly"" OR ""formed"" OR ""indian"" OR ""parents""",5,ed30684a527299e80d1a23a217633f82a874a381b6edcd4912a3ed31b7fa1b4f,08d52ee6fcda1e52a8b8d76dcd4ebc6330c330b7dc831d5948154ea5bf1c0179,False,"[""d34"",""d35"",""d36"",""d37"",""d1""]","[""16160"",""38246"",""94033"",""96910"",""21993""]","[{""docid"":""16160"",""score"":14.704192657992882,""snippet"":"" ... An accountant played by an actor with Resting Plague Mask Face.) Perhaps it's a coincidence! Either way, The French Dispatch was named a \""PQ recommendation\"" by PQ Magazine, which describes itself as \""an award-winning magazine for part qualified accountants.\"" –MA\n\n113. Serge X. — Mathieu Amalric, The ... "",""title"":""https://www.insidehook.com/film/wes-anderson-character-ranking""},{""docid"":""38246"",""score"":14.319089413909413,""snippet"":"" ... Alec Baldwin appears only in voice form as the Narrator, but his quiet, stately baritone fits in perfectly with Anderson's highly-stylized take on New York's bourgeoisie.\n\nAnderson has one of the most highly-identifiable styles of any director, living or dead, and if RUSHMORE could ... "",""title"":""https://indiefilmhustle.com/wes-anderson/""},{""docid"":""94033"",""score"":13.690308192614946,""snippet"":"" ... Chong does a perfectly great job in television! But this face does not match the name and backstory. I have met many people whose faces, names, and backstories matched for real-life analogues of Khan. What's wrong with them?\n\nLook at all these actors of West Asian ... "",""title"":""https://www.trekbbs.com/threads/my-gripes-with-asian-casting-and-character-naming-in-paramount-trek.312978/""},{""docid"":""96910"",""score"":13.6838212147676,""snippet"":"" ... Two Indian actors of opposing sensibilities fall to earth, transformed into living symbols of what is angelic and evil. This is just the initial act in a magnificent odyssey that seamlessly merges the actual with the imagined.\""\n\n!A Clockwork Orange by Anthony Burgess\n\n\""A vicious fifteen-year-old ... "",""title"":""https://bookriot.com/best-funny-novels/""},{""docid"":""21993"",""score"":13.6023283483316,""snippet"":"" ... Encyclopedia of Indian Cinema. London: British Film Institute; New Delhi: Oxford University Press. .\n* \n\nExternal links\n\n* \n\nCategory:Indian Hindus\nCategory:Punjabi Hindus\nCategory:Arya Samajis\nCategory:1924 births\nCategory:1988 deaths\nCategory:Indian male film actors\nCategory:Hindi-language film directors\nCategory:Dadasaheb Phalke Award recipients\nCategory:Male actors ... "",""title"":""https://en.wikipedia.org/wiki/Raj_Kapoor""}]"
5,102,2026-09-15T14:21:34.722702+00:00,One Million Years B.C. 1966 film runtime cast list,"[""one"",""million"",""years"",""b"",""c"",""1966"",""film"",""runtime"",""cast"",""list""]","""one"" OR ""million"" OR ""years"" OR ""b"" OR ""c"" OR ""1966"" OR ""film"" OR ""runtime"" OR ""cast"" OR ""list""",5,73a3ab115dc9237d297afe936e2bfbd99e2d141240574445e29a974f95639b32,dd7ad390d1831fad3aedef404fbf18345aae3497de1869ee2f81450ae7023e1a,False,"[""d38"",""d30"",""d39"",""d40"",""d41""]","[""863"",""97967"",""94912"",""3678"",""62727""]","[{""docid"":""863"",""score"":20.84023676227579,""snippet"":"" ... on-car cameras. More than just loud cars driving fast, each race sequence is filmed in a different style showcasing multiple cinema art styles of the 1960s. |\n\n1966 Feature Film Runtime: 176 minutes Subject: Open Wheel Racing External Links: Wikipedia · IMDb |\n\n| Gone in 60 Seconds Starring: H.B ... "",""title"":""https://carsandracingstuff.com/library/video/videoguide.php""},{""docid"":""97967"",""score"":20.76193652768933,""snippet"":"" ... Part 2,\"" based on Frank Herbert's iconic 1965 sci-fi novel, making it one of the top-grossing movies of the year with $282 million domestically. Even more recent is the film \""Wicked,\"" whose adaptation lineage runs deep: It's based on the hit 2003 Broadway musical ... "",""title"":""https://stacker.com/stories/movies/100-best-movies-based-books""},{""docid"":""94912"",""score"":20.201000454887538,""snippet"":"" ... Bridge on the River Kwai and Lawrence of Arabia, but it still works exceedingly well for a film of its size, and is worth devoting 3+ hours of one's time to.\n\nDoctor Zhivago\n\nCast\n\n-\n\nOmar Sharif\n\n-\n\nGeraldine Chaplin\n\n-\n\nRod Steiger\n\n- Release Date\n\n- December 22, 1965\n\n- Runtime\n\n- 200 ... "",""title"":""https://collider.com/best-movies-1965-ranked/""},{""docid"":""3678"",""score"":20.02736618316213,""snippet"":"" ... 18 'Ride in the Whirlwind' (1966)\n\nAppeared as Wes\n\nWith the same director, genre, and some of the same cast, Ride in the Whirlwind is something of a companion Western toThe Shooting. They were both filmed back-to-back and released in the same year, though each had ... "",""title"":""https://collider.com/best-jack-nicholson-movies-ranked/""},{""docid"":""62727"",""score"":19.247325854428137,""snippet"":"" ... scientist on the station using the bodies of the other crew members of the ship! The story was so dark that it became the first Disney film to get a PG rating!\n\nThe Black Hole\n\n- Release Date\n\n- December 18, 1979\n\n- Runtime\n\n- 98 minutes\n\n- Director\n\n- Gary Nelson\n\nCast\n\n-\n\nAnthony ... "",""title"":""https://www.cbr.com/best-robot-movies-ranked/""}]"
