round,seq,utc,query,terms,expression,top_k,equivalence_key,cache_key,cached,returned_dN,returned_docids,result_docs
1,6,2026-09-15T14:09:30.123169+00:00,soap opera character married three times only one child survives,"[""soap"",""opera"",""character"",""married"",""three"",""times"",""only"",""one"",""child"",""survives""]","""soap"" OR ""opera"" OR ""character"" OR ""married"" OR ""three"" OR ""times"" OR ""only"" OR ""one"" OR ""child"" OR ""survives""",5,5ace7a8ff1a9841c1e9ea1fc8a1bd7f97973b1963fe12277ceaafec234549ad0,17afaea3031aae6d81b8ce9652681752f2d19299ee5784060ef384f1a2c6039e,False,"[""d1"",""d2"",""d3"",""d4"",""d5""]","[""60248"",""58666"",""24471"",""49471"",""49256""]","[{""docid"":""60248"",""score"":24.099100695237773,""snippet"":"" ... have put more effort into saving Josh.Soap Opera Digest. January 27, 2009.\n\nErica's youngest child, Bianca Montgomery, enters the series in 1988. At that time, Bianca is Erica's first and only child since the Kendall and Josh characters were not created yet. In the storyline ... "",""title"":""https://en.wikipedia.org/wiki/Erica_Kane""},{""docid"":""58666"",""score"":21.987244302767813,""snippet"":"" ... Gibbs actually announced the casting herself during an interview with the New York Daily News as she was inducted into the Hollywood Walk of Fame on July 20, 2021. Soap Opera Digest officially confirmed the casting and character on July 22. \""Get excited...,\"" Carlivati said on social media ... "",""title"":""https://en.wikipedia.org/wiki/List_of_Days_of_Our_Lives_characters_introduced_in_the_2020s""},{""docid"":""24471"",""score"":21.8309155146489,""snippet"":"" ... characters on daytime television, and Fulton became the first soap opera actress to hire a publicist. Fulton left the series for brief periods of time over the years, but was a huge part of the show for its entire 50-year run. Although she only received one Emmy ... "",""title"":""https://www.goldderby.com/gallery/best-daytime-actresses-ever-ranked/""},{""docid"":""49471"",""score"":21.6808777071818,""snippet"":"" ... In a 2000 move of network synergy designed to \""entice viewers to tune into soap operas that they might not have usually watched,\"" then-President of ABC Daytime Angela Shapiro orchestrated Dano's concurrent appearance as\nGretel on the three other ABC daytime dramas at the time—All ... "",""title"":""https://en.wikipedia.org/wiki/One_Life_to_Live""},{""docid"":""49256"",""score"":21.536134663895282,""snippet"":"" ... Bell, who would depart the series in 1975 to focus full-time on The Young and the Restless, which he created for CBS in 1973. Following the 2007 cancellation of Passions, Days of Our Lives remained the only soap opera airing on NBC. On August 3, 2022, NBCUniversal ... "",""title"":""https://en.wikipedia.org/wiki/Days_of_Our_Lives""}]"
1,14,2026-09-15T14:09:38.707212+00:00,actor real life relative plays together soap opera height 1.68,"[""actor"",""real"",""life"",""relative"",""plays"",""together"",""soap"",""opera"",""height"",""1"",""68""]","""actor"" OR ""real"" OR ""life"" OR ""relative"" OR ""plays"" OR ""together"" OR ""soap"" OR ""opera"" OR ""height"" OR ""1"" OR ""68""",5,7afdead8bda1a26a821962c8f25359fdc78b760b7c74f2daa48bb45d25154a48,ef64b56448607bbd21d5e92c92cda276b457011c673937d7cf669b44414753d3,False,"[""d6"",""d7"",""d8"",""d9"",""d5""]","[""67219"",""36741"",""53295"",""32785"",""49256""]","[{""docid"":""67219"",""score"":23.11586218005052,""snippet"":"" ... There have been several calls over the years to simply extend it to a permanent weekly slot throughout the year, thus cementing its transition into a full-blown medical soap opera, but this has yet to happen.\n\n- As If was relatively an aversion; four series of 18, 19 ... "",""title"":""https://tropedia.fandom.com/wiki/British_Brevity""},{""docid"":""36741"",""score"":22.92076795619292,""snippet"":"" ... This allows both characters to appear together in a single shot, and with both of them facing the audience. This is unrealistic in real life and is not frequently seen in film or on television outside American daytime serials, but it is an accepted soap opera convention, sometimes ... "",""title"":""https://en.wikipedia.org/wiki/Soap_opera""},{""docid"":""53295"",""score"":22.094676569823605,""snippet"":"" ... But Doug's theater background (he had been a Broadway actor), his personal passion for great drama, and the joy he got from creating characters for this great company of very talented actors yielded superb, highly intelligent soap opera.\n\nYet back then few viewers and magazine writers knew ... "",""title"":""https://marlenadelacroix.com/2009/04/guiding-light-my-favorite-years-and-what-you-can-learn-from-yours/""},{""docid"":""32785"",""score"":21.80420704605977,""snippet"":"" ... This episode, which showed the funeral of Shakil Kazemi (Shaheen Jafargholi) interspersed with real people talking about their true-life experiences of knife crime. [96] On 8 August 2018, it was announced that Kate Oates, who has previously been a producer on the ITV soap operas Emmerdale and ... "",""title"":""https://en.wikipedia.org/wiki/EastEnders""},{""docid"":""49256"",""score"":20.81466806949525,""snippet"":"" ... Hayes, the only daytime actors ever to appear on its cover. The Hayeses themselves were a couple whose on-screen and real-life romance (they met on the series in 1970 and married in 1974) was widely covered by both the soap opera magazines and the mainstream press ... "",""title"":""https://en.wikipedia.org/wiki/Days_of_Our_Lives""}]"
1,21,2026-09-15T14:09:40.069934+00:00,character married three times children died soap opera,"[""character"",""married"",""three"",""times"",""children"",""died"",""soap"",""opera""]","""character"" OR ""married"" OR ""three"" OR ""times"" OR ""children"" OR ""died"" OR ""soap"" OR ""opera""",5,22922e41b767ba92394cc1e991f9bbb6c282d01d8f1ffa5cc88f3e8e89210e57,444553d8909e686c37b18d07e116e236304f213676c90ee3e1e14962315598ac,False,"[""d10"",""d1"",""d11"",""d5"",""d4""]","[""89473"",""60248"",""21301"",""49256"",""49471""]","[{""docid"":""89473"",""score"":23.257354879264838,""snippet"":"" ... and three divorces. Fulton's character, considered one of soap's most infamous vixens, led her to be inducted into the Soap Opera Hall of Fame in 1998. She also received a Daytime Emmy Lifetime Achievement Award in 2004 for her work on the soap opera.\n\nDon Hastings ... "",""title"":""https://people.com/tv/soap-stars-who-have-played-roles-for-40-years/""},{""docid"":""60248"",""score"":22.534015324872,""snippet"":"" ... She used the story bible for All My Children to create the new program. The Erica character officially debuted in 1970 once All My Children made it onto the air.\n\nCasting\n\nAt the time, soap operas featured mostly older casts. To add a contemporary feel to the show ... "",""title"":""https://en.wikipedia.org/wiki/Erica_Kane""},{""docid"":""21301"",""score"":22.334237065008583,""snippet"":"" ... soap — which has been airing since 1973 — multiple times since: once in 2014 for a guest appearance; again in 2019 to honor cast member Kristoff St. John (who died that same year); and in 2023 to attend a fictional gala in honor of St. John's character, Neil ... "",""title"":""https://ew.com/gallery/celebrities-soap-operas/?srsltid=AfmBOooScLBqg_4Io3CmVSXCv3yQ8T4GbnGXu-AtQy6qdzf755uOdvm9""},{""docid"":""49256"",""score"":21.70355054113886,""snippet"":"" ... Ramoray Dies,\"" in which his character was killed off by falling down an elevator shaft in retaliation for claiming during a Soap Opera Digest interview that he wrote most of his lines, angering the soap's writers. Later, in the Season 7 episode \""The One With Joey's ... "",""title"":""https://en.wikipedia.org/wiki/Days_of_Our_Lives""},{""docid"":""49471"",""score"":21.564893182390456,""snippet"":"" ... to \""entice viewers to tune into soap operas that they might not have usually watched,\"" then-President of ABC Daytime Angela Shapiro orchestrated Dano's concurrent appearance as\nGretel on the three other ABC daytime dramas at the time—All My Children, General Hospital, and Port Charles—in ... "",""title"":""https://en.wikipedia.org/wiki/One_Life_to_Live""}]"
2,34,2026-09-15T14:09:46.914809+00:00,actor plays with real life sister brother on screen unrelated character TV series,"[""actor"",""plays"",""with"",""real"",""life"",""sister"",""brother"",""on"",""screen"",""unrelated"",""character"",""tv"",""series""]","""actor"" OR ""plays"" OR ""with"" OR ""real"" OR ""life"" OR ""sister"" OR ""brother"" OR ""on"" OR ""screen"" OR ""unrelated"" OR ""character"" OR ""tv"" OR ""series""",5,6c8d87abb0d52bfb10d21034788b253c5e8406ccef18968f4965e76822f59f54,28a52d8f7dbdcff341fde3432c94d5b1ced87e446ffde661ed133aa347471dfc,False,"[""d12"",""d13"",""d14"",""d15"",""d16""]","[""69326"",""11078"",""67017"",""53770"",""14857""]","[{""docid"":""69326"",""score"":25.082145225984366,""snippet"":"" ... relationships on-screen.\n\nPlaying more than one role is a challenge for actors, especially when done simultaneously. But when done right, it can have a marvelous effect. It is not uncommon for actors to play more than one character in a TV show or movie, with scenarios including ... "",""title"":""https://screenrant.com/actors-multiple-characters-same-tv-show/""},{""docid"":""11078"",""score"":24.613942835814377,""snippet"":"" ... Slater play teenage siblings. With their blond hair, grey-blue eyes, peaches-and-cream complexions, and identical last names, coupled with the fact that both actors were relative unknowns at the time, it was unsurprising when many moviegoers assumed they were real-life brother-and-sister.\n\n- The Lord ... "",""title"":""https://tvtropes.org/pmwiki/pmwiki.php/Main/SeparatedAtBirthCasting""},{""docid"":""67017"",""score"":23.79314991185663,""snippet"":"" ... each sister came on screen.\n\n8 Nina Dobrev (The Vampire Diaries)\n\nThe Vampire Diaries continues to be an iconic 2010s show, largely because of Nina Dobrev's performance as the doppelgängers. Throughout, she played Elena, Katherine, Amara and Tatia, with the first two being the main characters. Dobrev ... "",""title"":""https://www.cbr.com/10-actors-multiple-roles-same-show/""},{""docid"":""53770"",""score"":23.26144655863641,""snippet"":"" ... Any family relation is played by the same actor.\n\n- You Look Familiar: One actor plays two unrelated characters, within the same series, but (usually) different episodes.\n\nExamples:\n\nFor works that have their own pages:\n\n- Anime\n\n- Video Games\n\n- Western Animation\n\n- Futari wa Pretty Cure Splash★Star:\n\n- Yuriko Fuchizaki plays ... "",""title"":""https://tvtropes.org/pmwiki/pmwiki.php/Main/ActingForTwo""},{""docid"":""14857"",""score"":22.480770891366653,""snippet"":"" ... The show focused on all the F's (feelings, family, friendship, the unknowable future, the futility of life, and yes, football), tackling real problems like gun violence, overzealous parents, racism, and lack of public school funding. The cast was stacked with capable young actors who pulled their weight ... "",""title"":""https://www.rd.com/list/teen-tv-shows/""}]"
2,42,2026-09-15T14:09:48.712507+00:00,TV series real life siblings play unrelated characters married three times,"[""tv"",""series"",""real"",""life"",""siblings"",""play"",""unrelated"",""characters"",""married"",""three"",""times""]","""tv"" OR ""series"" OR ""real"" OR ""life"" OR ""siblings"" OR ""play"" OR ""unrelated"" OR ""characters"" OR ""married"" OR ""three"" OR ""times""",5,c373b56f6a8e8bd62cb149c969bc843efbc898d6a66ffd7011e6d8a5d0042819,459decf3a712f8800ca2da4f789d271224b78f1a254ec3cc28df61f065cf10eb,False,"[""d17"",""d18"",""d19"",""d20"",""d16""]","[""62963"",""97161"",""33275"",""32179"",""14857""]","[{""docid"":""62963"",""score"":20.130290826924963,""snippet"":"" ... are siblings in real life are commonly cast to play siblings on television. After all, that's the best way to make it seem like the relationship is an authentic one. In the case of Jessica and Richard Harmon, though, the siblings actually play unrelated characters in the ... "",""title"":""https://screenrant.com/cw-stars-family/""},{""docid"":""97161"",""score"":18.320783651003325,""snippet"":"" ... 2024-11-13\n---\nUsually, the return of a great TV series is cause for celebration. In the case of Bad Sisters, it's cause for a fair amount of scepticism – and a sliver of hope. That's because the Dublin-set whodunnit's original run – a stunningly engineered ... "",""title"":""https://www.theguardian.com/tv-and-radio/2024/nov/13/bad-sisters-season-two-review-the-sisterhood-sequel-sharon-horgan""},{""docid"":""33275"",""score"":17.987898365345295,""snippet"":"" ... In a twist of this being Played for Drama, Asya's father's mistress is also named Asya. In fact, he invokes this trope by naming his daughter after the love of his life.\n\n- Teased but ultimately subverted with Asya and Aras. They are going to marry and ... "",""title"":""https://tvtropes.org/pmwiki/pmwiki.php/Main/AlliterativeFamily""},{""docid"":""32179"",""score"":17.890794625421158,""snippet"":"" ... Ironside - What character in the 1970s show Good Times, played by Jimmie Walker, was known for his catchphrase \""Dyn-o-mite\""?\n\nAnswer: JJ - Patrick McGoohan's character on what short-lived TV show, which has gained a cult following around the world despite running for just 17 episodes ... "",""title"":""https://www.watercoolertrivia.com/trivia-questions/classic-tv-trivia-questions""},{""docid"":""14857"",""score"":17.874095260457576,""snippet"":"" ... What makes the show truly worthy of all-time-best status is the coming-of-age storylines, the portrayal of magical childhood friendships, the carefully crafted Spielbergian aesthetic, the sentimental depiction of suburban Midwestern life, the detailed character studies brought to life by kids who seem like real ... "",""title"":""https://www.rd.com/list/teen-tv-shows/""}]"
2,49,2026-09-15T14:09:49.585651+00:00,telenovela actor real life relative co-star height 1.68 married three times,"[""telenovela"",""actor"",""real"",""life"",""relative"",""co"",""star"",""height"",""1"",""68"",""married"",""three"",""times""]","""telenovela"" OR ""actor"" OR ""real"" OR ""life"" OR ""relative"" OR ""co"" OR ""star"" OR ""height"" OR ""1"" OR ""68"" OR ""married"" OR ""three"" OR ""times""",5,dc5fecba75a60ab7ef73bde2696b97966a1713075df40c5e31484acd2fbd5f55,f7f730d78b329fb7d888528da10148b7e5b0ce1e8b106ccbfeefe94fed1fa644,False,"[""d21"",""d7"",""d22"",""d23"",""d24""]","[""79913"",""36741"",""5705"",""76893"",""99719""]","[{""docid"":""79913"",""score"":23.797666016779896,""snippet"":"" ... role in the telenovela American Heiress as Solomon Cortez and a recurring role as Officer Litchman in ER.\n\nFrom 2008 to 2010, Manganiello had a recurring role in One Tree Hill as the flirtatious bartender Owen Morello. Around the same time, he also guest starred in a lineup ... "",""title"":""https://www.nbc.com/nbc-insider/joe-manganiello-tv-show-movies-guest-roles-career""},{""docid"":""36741"",""score"":23.209197166420203,""snippet"":"" ... prime time series lost money, while daytime serials earned profits several times more than their production costs. The issue's cover notably featured its first daytime soap stars, Bill Hayes and Susan Seaforth Hayes of Days of Our Lives, a married couple whose onscreen and real-life romance ... "",""title"":""https://en.wikipedia.org/wiki/Soap_opera""},{""docid"":""5705"",""score"":22.70302294566602,""snippet"":"" ... Success continued with appearances in Dan in Real Life (2007), Scream 4 (2011), and the lead roles in two series, Lux in Life Unexpected (2010) and Cassie in The Secret Circle (2011). Britt also starred in the television film Avalon High (2010), opposite Gregg Sulkin, had a supporting ... "",""title"":""https://www.imdb.com/search/name/?birth_date=1990-01-01,1990-12-31&gender=female""},{""docid"":""76893"",""score"":22.221818127048703,""snippet"":"" ... There are also many celebrities who have married non-famous people, like Matt Damon and Nicolas Cage. Two different entertainment worlds collide when actors marry musicians. But what about actors who marry athletes?\n\nThat's actually more common than fans might realize, as there are many TV stars ... "",""title"":""https://screenrant.com/tv-stars-who-married-athletes-kerry-washington-eva-longoria/""},{""docid"":""99719"",""score"":21.892211290694664,""snippet"":"" ... Brandon also starred opposite Matt Smith (The Crown) as real life artist Edward Mapplethorpe, in the film Mapplethorpe, about the life and death of controversial photographer Robert Mapplethorpe, which premiered in competition at the 2018 Tribeca Film Festival.\n\nIn 2019 Brandon filmed Lead roles in three feature films ... "",""title"":""https://www.imdb.com/search/name/?birth_year=1990""}]"
2,57,2026-09-15T14:09:50.745145+00:00,Yellowstone cast real life relatives height character married,"[""yellowstone"",""cast"",""real"",""life"",""relatives"",""height"",""character"",""married""]","""yellowstone"" OR ""cast"" OR ""real"" OR ""life"" OR ""relatives"" OR ""height"" OR ""character"" OR ""married""",5,7603cf72a38cd7b3204eccda6b43f7ad9a816a870cd0bc660b1478852d644e3b,ca816dbff5dee84904d8582c7762ad40c89c65de8b614edb2c4529481b5cf144,False,"[""d25"",""d26"",""d27"",""d28"",""d29""]","[""63975"",""82282"",""9673"",""16552"",""33265""]","[{""docid"":""63975"",""score"":20.16229679203896,""snippet"":"" ... Or, should I say the character who appears in the title? Either way, it's Yellowstone and every one knows it! No more parks masquerading as alien worlds.\n\nWhere Did Costner Draw His Inspiration?\n\nAccording to Kieran Fisher, Costner drew inspiration from the numerous real-life ranchers who ... "",""title"":""https://morethanjustparks.com/national-park-tv-shows/""},{""docid"":""82282"",""score"":19.58602516455304,""snippet"":"" ... 1923 Cast: Meet the Actors and Characters Behind the Yellowstone Spinoff\nauthor: Jessica Sager\ndate: 2025-02-23\n---\nTaylor Sheridan might not have made 1923 if it weren't for the cast he secured for the series.\n\nThe Yellowstone creator told Deadline that he wrote Jacob Dutton specifically ... "",""title"":""https://people.com/1923-cast-yellowstone-spinoff-actors-everything-to-know-7506240""},{""docid"":""9673"",""score"":19.328396513983996,""snippet"":"" ... When the audience met the generations that preceded him on 1923, a guessing game even among the franchise cast began about which character Sheridan would reveal to be the Dutton son who begins the Yellowstone flagship's family line.\n\nSome viewers believed Spencer was John's grandfather, and ... "",""title"":""https://www.hollywoodreporter.com/feature/yellowstone-character-guide-dutton-family-tree-1235593911/""},{""docid"":""16552"",""score"":18.460591267487978,""snippet"":"" ... If you aren't sold already, you should probably know that the cast also includes Bobby Cannavale, Don Cheadle, Michael Peña and Shawn Hatosy. Unstoppable, right? – DT\n\n\""A Real Pain\""\n\nHulu – Jan. 16\n\n\""A Real Pain\"" is hilarious and moving, a small-scale character study that is still ... "",""title"":""https://www.thewrap.com/best-new-streaming-movies-january-2025/""},{""docid"":""33265"",""score"":17.73156435079692,""snippet"":"" ... The Wild Similarities Between the Show 'Yellowstone' and Real Life in the Mountain West\nauthor: Ryleigh Nucilli\ndate: 2024-11-14\n---\nI started watching the hugely popular TV series Yellowstone in 2020, during the height of the COVID pandemic. By then, there were multiple seasons available, and my ... "",""title"":""https://www.outsideonline.com/culture/books-media/yellowstone-real-life/""}]"
2,65,2026-09-15T14:09:51.462375+00:00,Jane the Virgin cast real life relatives character married,"[""jane"",""the"",""virgin"",""cast"",""real"",""life"",""relatives"",""character"",""married""]","""jane"" OR ""the"" OR ""virgin"" OR ""cast"" OR ""real"" OR ""life"" OR ""relatives"" OR ""character"" OR ""married""",5,3dfecb1911f37eae7ab0351db9ed330cb90259e50c123d199b62ac3d4d2e0902,98af6160c976bb9171560c4c0d8d5e18703348c4a6cc6403d7ec88615e29cf88,False,"[""d30"",""d31"",""d32"",""d33"",""d34""]","[""21678"",""18001"",""57372"",""35966"",""58653""]","[{""docid"":""21678"",""score"":19.471398644340336,""snippet"":"" ... the episode, Justine had to go on dinner dates with her real-life brother Jason, admit she was attracted to him and have him ask her to marry her at the end.\n\nMy point is this: When the chemistry between the actors is good, when the characters are ... "",""title"":""https://www.boredpanda.com/age-difference-parent-vs-child-movies/""},{""docid"":""18001"",""score"":19.449034820405963,""snippet"":"" ... Art Streiber.\"",\""image_credit\"":\""NBCU Photo Bank\\/NBCUniversal via\"",\""url\"":\""https:\\/\\/ 10:39:17\"",\""modified\"":\""2019-12-04 14:30:52\"",\""title\"":\""'Jane the Virgin'\"",\""subtitle\"":null,\""slug\"":\""44-jane-the-virgin-914780\"",\""caption\"":\""\"",\""description\"":\""\\n\\t\\t\\t\\t\n\n\\nStreaming on Netflix\\u00a0<\\/em><\\/span><\\/p>\\n ... "",""title"":""https://www.rollingstone.com/tv-movies/tv-movie-lists/50-best-tv-shows-of-decade-2010s-914737/""},{""docid"":""57372"",""score"":19.448355488674718,""snippet"":"" ... The character of Niles was not part of the original concept for the show. Frasier had told his bar friends on Cheers that he was an only child;\""Behind The Couch: The Making of Frasier\"", DVD Extra, Season 1 however, Sheila Guthrie, the assistant casting director on Wings ... "",""title"":""https://en.wikipedia.org/wiki/Frasier""},{""docid"":""35966"",""score"":19.136457199235185,""snippet"":"" ... Isabella obviously cannot see how dangerous it would be to marry Heathcliff, when he appears wearing the mask of a gentleman. She does not possess the ability to doubt male intentions and as such fulfils the type of the Gothic virgin, while also emphasising Catherine's greater understanding ... "",""title"":""https://journals.openedition.org/lisa/3496?lang=en""},{""docid"":""58653"",""score"":19.071781182593057,""snippet"":"" ... that character,\"" she said when revealing the cast on her Instagram account. \""The good news is he's gonna be Ryle. So we have our Ryle and our Lily.\""\n\nAs an actor, Baldoni is best known for playing Rafael Solano on the CW series Jane the Virgin from ... "",""title"":""https://people.com/it-ends-with-us-cast-everything-to-know-7505758""}]"
2,73,2026-09-15T14:09:54.531978+00:00,character married three times one child survives TV drama,"[""character"",""married"",""three"",""times"",""one"",""child"",""survives"",""tv"",""drama""]","""character"" OR ""married"" OR ""three"" OR ""times"" OR ""one"" OR ""child"" OR ""survives"" OR ""tv"" OR ""drama""",5,2cc3a121090350269b983c8ab1c4589e68ef89a80e9e85b4385371e474ac050a,afff40841219027666143a7f88a3e323077d6bd9d98bf6ba32fa785e00ff8a61,False,"[""d35"",""d36"",""d37"",""d38"",""d39""]","[""3161"",""85765"",""32327"",""81882"",""9215""]","[{""docid"":""3161"",""score"":16.80866074749303,""snippet"":"" ... California on June 29, 2023 at the age of 89. He is survived by his three sons - Adam, Matthew, and Anthony Dana Arkin, and with Dana, Alan Arkin is survived by third wife, Suzanne Newlander Arkin, whom he married in 1999.- Actor\n\n- Soundtrack\n\nPopular British character actor Tom ... "",""title"":""https://m.imdb.com/search/name/?death_date=2023&ref_=nmbio_dth_yr""},{""docid"":""85765"",""score"":16.739310190567508,""snippet"":"" ... A drama teacher and vocal coach in later years, Harris died of a blood clot to the heart on November 3, 2002, just three days before his 88th birthday. He was survived by his long-time wife (from 1938), Gertrude Bregman, and son Richard (born 1942). He was ... "",""title"":""https://www.imdb.com/search/name/?death_date=2002""},{""docid"":""32327"",""score"":16.620919071430762,""snippet"":"" ... Married three times, she has two children, Kimberley and William, from her former husband, British actor Geoffrey Horne, and one child, Michael, from the marriage to Scott Paxton. She died of brain cancer at her North Carolina home in Highlands on October 14, 2009. She was 74.- Actress ... "",""title"":""https://m.imdb.com/search/name/?death_date=2009&ref_=nm_ov_dth_year""},{""docid"":""81882"",""score"":16.548473926116216,""snippet"":"" ... He was married a total of seven times, and fathered eight children.\n\nAfter long battles with ill health, Richard Pryor passed away on December 10th, 2005.- Vincent Schiavelli, selected in 1997 by Vanity Fair as one of the best character actors in America, had made over 120 film ... "",""title"":""https://m.imdb.com/search/name/?death_date=2005&ref_=nmbio""},{""docid"":""9215"",""score"":16.52761328870255,""snippet"":"" ... Jones, who earned a reported $350,000 per episode during his final season as a full-time cast member on the CBS sitcom, told Houston TV station KHOU that the show \""was making light of topics in our world that are really problems for a lot of people ... "",""title"":""https://www.eonline.com/photos/9198/child-stars-who-turned-out-all-right""}]"
3,90,2026-09-15T14:10:01.896570+00:00,Bold and the Beautiful actor real life relative co-star character married three times,"[""bold"",""and"",""the"",""beautiful"",""actor"",""real"",""life"",""relative"",""co"",""star"",""character"",""married"",""three"",""times""]","""bold"" OR ""and"" OR ""the"" OR ""beautiful"" OR ""actor"" OR ""real"" OR ""life"" OR ""relative"" OR ""co"" OR ""star"" OR ""character"" OR ""married"" OR ""three"" OR ""times""",5,8d35258e5dd0f009d7d20e6b177b6c288a0b19d3ac804f6b1f26551ef0ae3233,e6356cab6b65cd03041e6763d1f4a6770c24363e950e9e2c20938c6489499efc,False,"[""d40"",""d41"",""d42"",""d43"",""d44""]","[""62421"",""16694"",""34251"",""7034"",""59390""]","[{""docid"":""62421"",""score"":21.139758387693124,""snippet"":"" ... and raised over $1 million for The Actors Fund. On September 8, 2022, Brady was announced as a contestant on season 31 of Dancing with the Stars. He was partnered with Witney Carson and they finished in 3rd place.\n\nPersonal life\n\nBrady has been married twice. He married ... "",""title"":""https://en.wikipedia.org/wiki/Wayne_Brady""},{""docid"":""16694"",""score"":20.968902497137602,""snippet"":"" ... The actor Don Diamont then transferred to Y&R's \""sister show\"" The Bold and the Beautiful as a new character named Bill.\n\nIn 2007, the show began to reintroduce infamous story plots to draw back some devoted fans. The infamous Jack vs. Victor war began to surface ... "",""title"":""https://en.wikipedia.org/wiki/The_Young_and_the_Restless_storylines""},{""docid"":""34251"",""score"":20.573291192816495,""snippet"":"" ... indeed move on, joining the cast of The Bold and the Beautiful, where he played unlucky-in-love Wyatt Spencer for the next decade.\n\nHaley Pullos\n\nEven before General Hospital recognized the future five-time Young Artist Award winner's star quality and cast her as Molly at ... "",""title"":""https://soaps.sheknows.com/gallery/soap-stars-who-grew-up-on-screen/""},{""docid"":""7034"",""score"":20.537903816746173,""snippet"":"" ... married at the time. She said, 'If you are offered James Bond, we are not getting married.'\""\n\nNeeson joked with O'Brien by playing out a theoretical scenario that underscores Richardson's problem with the job: Her husband coming home after closely working with beautiful co-stars all ... "",""title"":""https://www.gamesradar.com/32-actors-who-turned-down-iconic-roles/""},{""docid"":""59390"",""score"":20.385422721062174,""snippet"":"" ... He co-produced and wrote for Big Mouth and The Other Two and as an actor has appeared on Shrill, Search Party, and Sunnyside. In 2022, he wrote, produced, and starred in the Hulu romantic comedy Fire Island, a modern adaptation of Pride and Prejudice with a main ... "",""title"":""https://www.imdb.com/date/02-29/births""}]"
